comp_name,in_between,one_side,long,total
6rcv_J+I|F,0,1,4,7
6al0_H+L|A,0,3,0,4
5nh3_H+L|A,0,2,1,6
1xgt_B+A|C,0,0,0,0
3jab_Q+R|O,0,0,0,2
3wih_H+L|A,0,1,0,1
1ahw_B+A|C,0,0,0,2
3ulu_F+E|A,0,0,1,3
3ulv_F+E|A,0,0,0,3
3l5w_H+L|I,0,2,0,4
4k24_H+L|U,0,1,0,4
6s3t_E+I|T,0,1,3,6
5c7x_H+L|A,0,2,1,4
1xgu_B+A|C,0,0,0,0
6a4k_H+L|A,0,0,0,3
3wih_I+M|B,0,1,0,1
3g6d_H+L|A,0,2,0,4
6a4k_J+N|C,0,0,0,3
5w06_H+L|T,0,0,0,3
4pp2_B+A|F,0,0,0,0
5bvp_H+L|I,0,2,0,4
4jpk_H+L|A,0,0,1,3
1xgp_B+A|C,0,0,0,0
6a4k_K+O|D,0,0,0,3
3rvv_D+C|A,0,0,1,2
6rcv_E+D|A,0,1,4,7
1kip_B+A|C,0,0,0,0
5x0t_C+D|F,0,1,2,6
2fd6_H+L|U,0,0,0,1
6c6y_H+L|R,0,0,0,1
