comp_name,type,chain_ids,candidate_pdb_id,candidate_chain_ids,assembly_id,reason
5vta_I:G|B,AG,B,2I3Z,A|B,1,potenial_homomer
5vta_I:G|B,AG,B,2I3Z,A|B|A|B|A|B,2,potenial_homomer
6r2s_B:A|C,AG,C,3RRC,A|B,1,potenial_homomer
2r56_I:M|B,AG,B,4NLJ,A|B,1,potenial_homomer
2r56_I:M|B,AG,B,4TLJ,A|B,1,potenial_homomer
5dup_H:L|A,AG,A,4KWM,A|A|A,1,potential_complex_homomer
5dup_H:L|A,AG,A,4KWM,C|C|C,2,potential_complex_homomer
5dup_H:L|A,AG,A,4KWM,E|E|E,3,potential_complex_homomer
5dup_H:L|A,AG,A,6NTF,A|A|A,1,potenial_homomer
5fhc_A:B|J,AG,J,6G95,B|B|B,1,potential_complex_homomer
5fhc_A:B|J,AG,J,2EBO,A|B|C,1,potenial_homomer
5fhc_A:B|J,AG,J,6G9I,B|B|B,1,potential_complex_homomer
4hc1_M:N|B,AG,B,4HBQ,A|B,3,potenial_homomer
4lmq_E:I|F,AG,F,2J7Z,A|B,1,potenial_homomer
4lmq_E:I|F,AG,F,3GV3,A|A,1,potenial_homomer
4lmq_E:I|F,AG,F,4UAI,A|B,1,potenial_homomer
6nip_H:L|Z,AG,Z,5JHM,A|B,1,potenial_homomer
1vfb_B:A|C,AB,B:A,1CIC,D:C,1,additional_chains
6pzw_F:E|C,AG,C,5L18,A|A|A|A,1,potenial_homomer
6pzw_F:E|C,AG,C,4MWL,A|A|A|A,1,potenial_homomer
6pzw_F:E|C,AG,C,4MWJ,A|A|A|A,1,potenial_homomer
6pzw_F:E|C,AG,C,4MWU,A|A|A|A,1,potenial_homomer
6pzw_F:E|C,AG,C,6PZD,A|A|A|A,1,potenial_homomer
5kel_Q:U|I,AG,I,6G95,B|B|B,1,potential_complex_homomer
5kel_Q:U|I,AG,I,2EBO,A|B|C,1,potenial_homomer
5kel_Q:U|I,AG,I,6G9I,B|B|B,1,potential_complex_homomer
4qhu_B:A|D,AG,D,4HR9,A|B,1,potenial_homomer
4ckd_H:L|C,AG,C,4TTG,A|B|C|D,1,potenial_homomer
4ckd_H:L|C,AG,C,4TTG,B|C,2,potenial_homomer
4ckd_H:L|C,AG,C,1JYW,A|B|C|D,1,potenial_homomer
5lbs_H:L|A,AG,A,5LBV,A|B,1,potenial_homomer
6mhg_G:S|E,AG,E,3VDL,A|B|C,4,potenial_homomer
6mhg_G:S|E,AG,E,3VDJ,A|A|A,2,potenial_homomer
6mhg_G:S|E,AG,E,3VDK,A|A|A,2,potenial_homomer
6adc_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
6adc_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
6adc_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
6adc_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
5x0t_A:B|E,AG,E,3I84,A|B,1,potenial_homomer
5x0t_A:B|E,AG,E,3I84,A|B|A|B,2,potenial_homomer
6mhg_A:N|E,AG,E,3VDL,A|B|C,4,potenial_homomer
6mhg_A:N|E,AG,E,3VDJ,A|A|A,2,potenial_homomer
6mhg_A:N|E,AG,E,3VDK,A|A|A,2,potenial_homomer
3ks0_K:J|A,AG,A,1KBI,A|B|A|B,1,potenial_homomer
3ks0_K:J|A,AG,A,1LTD,A|B|A|B,1,potenial_homomer
3ks0_K:J|A,AG,A,1FCB,A|B|A|B,1,potenial_homomer
6d0u_H:I|G,AG,G,6BKQ,A|C|E,1,potenial_homomer
6d0u_H:I|G,AG,G,6BKQ,A|C|E,3,potential_complex_homomer
6d0u_H:I|G,AG,G,6BKM,A|C|E,1,potenial_homomer
6d0u_H:I|G,AG,G,6BKM,A|C|E,3,potential_complex_homomer
2vwe_E:C|A,AG,A,2C7W,A|B,1,potenial_homomer
6nb7_H:L|A,AG,A,6G95,B|B|B,1,potential_complex_homomer
6nb7_H:L|A,AG,A,6G9I,B|B|B,1,potential_complex_homomer
6nb7_H:L|A,AG,A,6ACC,A|B|C,1,potenial_homomer
6e4x_Z:Y|B,AG,B,4WE8,A|A|A,1,potenial_homomer
6e4x_Z:Y|B,AG,B,4WEA,A|A|A,1,potenial_homomer
6e4x_Z:Y|B,AG,B,4WE9,A|A|A,1,potenial_homomer
6pz8_C:G|J,AG,J,6Q04,A|B|C,1,potenial_homomer
3dvn_B:A|Y:X,AG,Y:X,6E2B,A:A|C:C|E:E|G:G|I:I|P:P,1,potential_complex_homomer
4i2x_D:C|F,AG,F,2JJW,A|A,1,potenial_homomer
4ffw_D:C|B,AG,B,2GBC,A|B,1,potenial_homomer
4ffw_D:C|B,AG,B,2GBC,A|B|A|B|A|B,2,potenial_homomer
4ffw_D:C|B,AG,B,2GBG,A|B,1,potenial_homomer
4ffw_D:C|B,AG,B,2GBG,A|B|A|B|A|B,2,potenial_homomer
4ffw_D:C|B,AG,B,2I3Z,A|B,1,potenial_homomer
4ffw_D:C|B,AG,B,2I3Z,A|B|A|B|A|B,2,potenial_homomer
4kxz_Q:P|D,AG,D,1TFG,A|A,1,potenial_homomer
4kxz_Q:P|D,AG,D,6I9J,A|A,1,potenial_homomer
4kxz_Q:P|D,AG,D,2TGI,A|A,1,potenial_homomer
5xmh_H:L|A,AG,A,5HSF,A|B,1,potenial_homomer
5xmh_H:L|A,AG,A,5JII,A|B,1,potenial_homomer
5xmh_H:L|A,AG,A,5GSQ,A|B,1,potenial_homomer
5xmh_H:L|A,AG,A,5GSQ,C|D,2,potenial_homomer
6mb3_H:L|E,AG,E,3VDL,A|B|C,4,potenial_homomer
6mb3_H:L|E,AG,E,3VDJ,A|A|A,2,potenial_homomer
6mb3_H:L|E,AG,E,3VDK,A|A|A,2,potenial_homomer
5mhr_P:O|E,AG,E,2OJ5,A|B|C,1,potenial_homomer
5mhr_P:O|E,AG,E,2OJ5,D|E|F,2,potenial_homomer
4rau_B:A|C,AG,C,1F9Q,A|B|C|D,1,potenial_homomer
4rau_B:A|C,AG,C,4HSV,A|B|C|D,1,potenial_homomer
2h2p_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
2h2p_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
2h2p_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
2h2p_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
4f15_K:L|J,AG,J,4EDB,B|D|F,1,potential_complex_homomer
4f15_K:L|J,AG,J,4EDA,A|B,1,potenial_homomer
4f15_K:L|J,AG,J,4EDA,C|D,2,potenial_homomer
4f15_K:L|J,AG,J,6GOL,A|A|A,1,potenial_homomer
4dn4_H:L|M,AG,M,3IFD,A|A,1,potenial_homomer
4dn4_H:L|M,AG,M,1DOK,A|B,1,potenial_homomer
4dn4_H:L|M,AG,M,1DOK,A|B|A|B,2,potenial_homomer
4dn4_H:L|M,AG,M,1DOL,A|A|A|A,2,potenial_homomer
4fqr_w:x|W,AG,W,6BKQ,A|C|E,1,potenial_homomer
4fqr_w:x|W,AG,W,6BKQ,A|C|E,3,potential_complex_homomer
4fqr_w:x|W,AG,W,6BKM,A|C|E,1,potenial_homomer
4fqr_w:x|W,AG,W,6BKM,A|C|E,3,potential_complex_homomer
5h30_I:M|C,AG,C,5LBV,A|B,1,potenial_homomer
5h30_I:M|C,AG,C,5JHM,A|B,1,potenial_homomer
5ebl_A:B|C,AG,C,2QTO,A|B|C|D,1,potenial_homomer
5ebl_A:B|C,AG,C,3IFX,A|B|C|D,1,potenial_homomer
5ebl_A:B|C,AG,C,3IFX,A|B|C|D|A|B|C|D,2,potenial_homomer
4mqx_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
4mqx_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
4mqx_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
4mqx_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
5ebw_A:B|C,AG,C,1JQ2,A|B|C|D,1,potenial_homomer
3uc0_I:M|B,AG,B,6JBJ,A|B,1,potenial_homomer
3uc0_I:M|B,AG,B,6H05,A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A|A,1,potenial_homomer
3uc0_I:M|B,AG,B,6VAI,A|B|C|D|E|F|G|H|I|J|K|L|M|N|O|P|Q|R|S|T|U|V,1,potenial_homomer
4khx_H:L|A,AG,A,5KA6,A|B|C,1,potenial_homomer
4khx_H:L|A,AG,A,5KA5,A|A|A,1,potenial_homomer
4khx_H:L|A,AG,A,5CN0,A|A|A,1,potenial_homomer
4m1c_E:F|B,AG,B,4PFC,A|B,1,potenial_homomer
4m1c_E:F|B,AG,B,4PF9,A|B,1,potenial_homomer
4m1c_E:F|B,AG,B,4PF7,A|B,1,potenial_homomer
5vjq_C:D|J,AG,J,1IAK,P,1,additional_chains
4rau_K:J|L,AG,L,1F9Q,A|B|C|D,1,potenial_homomer
4rau_K:J|L,AG,L,4HSV,A|B|C|D,1,potenial_homomer
1jps_H:L|T,AG,T,1BOY,A|A,1,potenial_homomer
3jwd_P:O|B,AG,B,3DNL,A|B|C|D|E|F|G|H|I,1,potenial_homomer
2fjg_H:L|W,AG,W,1MKK,A|B,1,potenial_homomer
2fjg_H:L|W,AG,W,4KZN,A|A,1,potenial_homomer
2fjg_H:L|W,AG,W,3QTK,A|D,1,potenial_homomer
2fjg_H:L|W,AG,W,3QTK,B|C,2,potenial_homomer
2fjg_H:L|W,AG,W,3QTK,E|F,3,potenial_homomer
3ejz_C:D|A,AG,A,4FTP,A|A,1,potenial_homomer
3ejz_C:D|A,AG,A,1KPK,A|B,1,potenial_homomer
3ejz_C:D|A,AG,A,1KPK,C|D,2,potenial_homomer
3ejz_C:D|A,AG,A,1KPK,E|F,3,potenial_homomer
2h2s_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
2h2s_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
2h2s_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
2h2s_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
4k2u_H:L|A,AG,A,1ZRL,A|A,1,potenial_homomer
4k2u_H:L|A,AG,A,1ZRO,A|B,1,potenial_homomer
4hg4_P:Q|D:a,AG,D:a,3QQE,A:B|A:B|A:B,1,potenial_homomer
4hg4_P:Q|D:a,AG,D:a,2WR7,A:A|B:B|C:C,1,potential_complex_homomer
4hg4_P:Q|D:a,AG,D:a,3QQB,A:B|A:B|A:B,1,potenial_homomer
4zs6_C:D|B,AG,B,6Q04,A|B|C,1,potenial_homomer
3stz_A:B|C,AG,C,2QTO,A|B|C|D,1,potenial_homomer
3stz_A:B|C,AG,C,3IFX,A|B|C|D,1,potenial_homomer
3stz_A:B|C,AG,C,3IFX,A|B|C|D|A|B|C|D,2,potenial_homomer
2qr0_R:Q|P,AG,P,1MKK,A|B,1,potenial_homomer
2qr0_R:Q|P,AG,P,4KZN,A|A,1,potenial_homomer
2qr0_R:Q|P,AG,P,3QTK,A|D,1,potenial_homomer
2qr0_R:Q|P,AG,P,3QTK,B|C,2,potenial_homomer
2qr0_R:Q|P,AG,P,3QTK,E|F,3,potenial_homomer
6pxh_C:D|A,AG,A,6Q04,A|B|C,1,potenial_homomer
6pxh_C:D|A,AG,A,6Q06,A|B|C,1,potenial_homomer
3stl_A:B|C,AG,C,2QTO,A|B|C|D,1,potenial_homomer
3stl_A:B|C,AG,C,3IFX,A|B|C|D,1,potenial_homomer
3stl_A:B|C,AG,C,3IFX,A|B|C|D|A|B|C|D,2,potenial_homomer
6dc5_H:I|G,AG,G,5KWW,F|F|F,1,potenial_homomer
6dc5_H:I|G,AG,G,6EAK,F|F|F,1,potenial_homomer
6dc5_H:I|G,AG,G,6EAM,F|F|F,1,potenial_homomer
6dc5_H:I|G,AG,G,6EAI,A|B|C,1,potenial_homomer
6dc5_H:I|G,AG,G,6EAL,F|F|F,1,potenial_homomer
3so3_C:B|A,AG,A,4IS5,A|A,2,potenial_homomer
2otw_B:A|E,AB,B:A,2GSG,B:A|D:C,3,potenial_homomer
6n8d_D:B|A,AG,A,4OOV,A|B,1,potenial_homomer
6n8d_D:B|A,AG,A,4OPV,A|B,1,potenial_homomer
6n8d_D:B|A,AG,A,4OPS,A|B,1,potenial_homomer
1g7i_B:A|C,AB,B:A,1CIC,D:C,1,additional_chains
6i9i_H:L|D,AG,D,6F9C,A|C|E|G|I|K,1,potential_complex_homomer
2fed_C:D|A,AG,A,4FTP,A|A,1,potenial_homomer
2fed_C:D|A,AG,A,1KPK,A|B,1,potenial_homomer
2fed_C:D|A,AG,A,1KPK,C|D,2,potenial_homomer
2fed_C:D|A,AG,A,1KPK,E|F,3,potenial_homomer
3ks0_H:L|B,AG,B,1KBI,A|B|A|B,1,potenial_homomer
3ks0_H:L|B,AG,B,1LTD,A|B|A|B,1,potenial_homomer
3ks0_H:L|B,AG,B,1FCB,A|B|A|B,1,potenial_homomer
5w23_H:L|C,AG,C,5KWW,F|F|F,1,potenial_homomer
5w23_H:L|C,AG,C,6EAK,F|F|F,1,potenial_homomer
5w23_H:L|C,AG,C,6EAM,F|F|F,1,potenial_homomer
5w23_H:L|C,AG,C,6EAI,A|B|C,1,potenial_homomer
5w23_H:L|C,AG,C,6EAL,F|F|F,1,potenial_homomer
3sqo_H:L|A,AG,A,6U2P,A|B,1,potenial_homomer
3sqo_H:L|A,AG,A,2P4E,P|A,3,potenial_homomer
2htl_C:D|A,AG,A,4FTP,A|A,1,potenial_homomer
2htl_C:D|A,AG,A,1KPK,A|B,1,potenial_homomer
2htl_C:D|A,AG,A,1KPK,C|D,2,potenial_homomer
2htl_C:D|A,AG,A,1KPK,E|F,3,potenial_homomer
4xmn_H:L|E,AG,E,3F7F,A|B,5,potenial_homomer
4xmn_H:L|E,AG,E,3F7F,C|D,6,potenial_homomer
6n81_C:D|B,AG,B,4OOV,A|B,1,potenial_homomer
6n81_C:D|B,AG,B,4OPV,A|B,1,potenial_homomer
6n81_C:D|B,AG,B,4OPS,A|B,1,potenial_homomer
2vh5_H:L|R,AG,R,821P,A|A,1,potenial_homomer
2vh5_H:L|R,AG,R,4DLR,A|A|A|A|A|A,2,potenial_homomer
2vh5_H:L|R,AG,R,5P21,A|A,1,potenial_homomer
4kxz_N:M|E,AG,E,1TFG,A|A,1,potenial_homomer
4kxz_N:M|E,AG,E,6I9J,A|A,1,potenial_homomer
4kxz_N:M|E,AG,E,2TGI,A|A,1,potenial_homomer
6h06_E:F|J,AG,J,6NWP,A|B|C|D|E|F,1,potenial_homomer
5e1a_A:B|C,AG,C,2QTO,A|B|C|D,1,potenial_homomer
5e1a_A:B|C,AG,C,3IFX,A|B|C|D,1,potenial_homomer
5e1a_A:B|C,AG,C,3IFX,A|B|C|D|A|B|C|D,2,potenial_homomer
1jhl_H:L|A,AG,A,3ZVQ,A,1,additional_chains
1jhl_H:L|A,AG,A,1IAK,P,1,additional_chains
4cmh_B:C|A,AG,A,3F6Y,A|A,2,potenial_homomer
6mhg_B:O|E,AG,E,3VDL,A|B|C,4,potenial_homomer
6mhg_B:O|E,AG,E,3VDJ,A|A|A,2,potenial_homomer
6mhg_B:O|E,AG,E,3VDK,A|A|A,2,potenial_homomer
5vcn_F:E|A,AG,A,2AS8,A|B,1,potenial_homomer
6e1k_D:C|B,AG,B,5DQQ,A|A,1,potenial_homomer
6e1k_D:C|B,AG,B,6CX0,A|A,1,potenial_homomer
6e1k_D:C|B,AG,B,5TUA,A|A,1,potenial_homomer
6e1k_D:C|B,AG,B,6E1M,A|B,1,potenial_homomer
5myx_D:C|F,AG,F,5BUO,A|B,1,potenial_homomer
5myx_D:C|F,AG,F,5OQV,A|B|C|D|E|F|G|H|I,1,potenial_homomer
4kka_C:D|A,AG,A,4FTP,A|A,1,potenial_homomer
4kka_C:D|A,AG,A,1KPK,A|B,1,potenial_homomer
4kka_C:D|A,AG,A,1KPK,C|D,2,potenial_homomer
4kka_C:D|A,AG,A,1KPK,E|F,3,potenial_homomer
4q6i_H:L|C,AG,C,3CD4,A|A,1,potenial_homomer
4q6i_H:L|C,AG,C,1CDH,A|A,1,potenial_homomer
3nps_B:C|A,AG,A,4IS5,A|A,2,potenial_homomer
6b7z_E:F|B,AG,B,4PFC,A|B,1,potenial_homomer
6b7z_E:F|B,AG,B,4PF9,A|B,1,potenial_homomer
6b7z_E:F|B,AG,B,4PF7,A|B,1,potenial_homomer
4m1g_H:L|B:A,AG,B:A,3K7B,A:A,1,additional_chains
4m1g_H:L|B:A,AG,B:A,3K7B,B:B,2,additional_chains
6by3_A:B|C,AG,C,1JVM,A|B|C|D,1,potenial_homomer
6by3_A:B|C,AG,C,1JVM,A|B|C|D|A|B|C|D,2,potenial_homomer
6by3_A:B|C,AG,C,1J95,A|B|C|D,1,potenial_homomer
5k9o_H:L|I,AG,I,4EDB,B|D|F,1,potential_complex_homomer
5k9o_H:L|I,AG,I,4EDA,A|B,1,potenial_homomer
5k9o_H:L|I,AG,I,4EDA,C|D,2,potenial_homomer
5k9o_H:L|I,AG,I,6GOL,A|A|A,1,potenial_homomer
5mp1_J:K|I,AG,I,6NWP,A|B|C|D|E|F,1,potenial_homomer
3uaj_C:D|B,AG,B,5B1C,B|B,1,potenial_homomer
3uaj_C:D|B,AG,B,5B1C,A|C,2,potenial_homomer
3uaj_C:D|B,AG,B,4X42,A|B,1,potenial_homomer
3uaj_C:D|B,AG,B,4X42,C|D,2,potenial_homomer
5i5k_X:Y|A,AG,A,3HQB,A|B,3,potenial_homomer
5i5k_X:Y|A,AG,A,3HQA,A|B,3,potenial_homomer
5i5k_X:Y|A,AG,A,3CU7,A|B,3,potenial_homomer
6dca_J:N|R,AG,R,6NWP,A|B|C|D|E|F,1,potenial_homomer
3eo1_H:G|I,AG,I,1TGJ,A|A,1,potenial_homomer
3eo1_H:G|I,AG,I,1TGK,A|A,1,potenial_homomer
6bb4_I:M|Q,AG,Q,6NWP,A|B|C|D|E|F,1,potenial_homomer
6ad8_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
6ad8_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
6ad8_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
6ad8_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
6u36_H:L|B,AG,B,6U2N,A|B,1,potenial_homomer
6u36_H:L|B,AG,B,6U2P,A|B,1,potenial_homomer
5cbe_C:D|F,AB,C:D,5C6W,H:H|J:J,1,potential_complex_homomer
5cbe_C:D|F,AG,F,4ZAI,A|A,2,potenial_homomer
4iof_E:F|B,AG,B,4PFC,A|B,1,potenial_homomer
4iof_E:F|B,AG,B,4PF9,A|B,1,potenial_homomer
4iof_E:F|B,AG,B,4PF7,A|B,1,potenial_homomer
6jep_H:L|E,AG,E,5LBV,A|B,1,potenial_homomer
6jep_H:L|E,AG,E,5JHM,A|B,1,potenial_homomer
5y0a_D:E|A,AG,A,5LBV,A|B,1,potenial_homomer
5y0a_D:E|A,AG,A,5JHM,A|B,1,potenial_homomer
5hi4_C:D|B,AG,B,4HR9,A|B,1,potenial_homomer
3fb8_A:B|C,AG,C,2QTO,A|B|C|D,1,potenial_homomer
3fb8_A:B|C,AG,C,3IFX,A|B|C|D,1,potenial_homomer
3fb8_A:B|C,AG,C,3IFX,A|B|C|D|A|B|C|D,2,potenial_homomer
6dc5_B:C|A,AG,A,5KWW,F|F|F,1,potenial_homomer
6dc5_B:C|A,AG,A,6EAK,F|F|F,1,potenial_homomer
6dc5_B:C|A,AG,A,6EAM,F|F|F,1,potenial_homomer
6dc5_B:C|A,AG,A,6EAI,A|B|C,1,potenial_homomer
6dc5_B:C|A,AG,A,6EAL,F|F|F,1,potenial_homomer
5xku_C:B|A,AG,A,4LN6,A|C|E,1,potential_complex_homomer
5xku_C:B|A,AG,A,4LN6,A,2,additional_chains
5xku_C:B|A,AG,A,4LN6,C,3,additional_chains
5xku_C:B|A,AG,A,4LN6,E,4,additional_chains
5xku_C:B|A,AG,A,4LN6,G|I|K,5,potential_complex_homomer
5xku_C:B|A,AG,A,4LN6,G,6,additional_chains
5xku_C:B|A,AG,A,4LN6,I,7,additional_chains
5xku_C:B|A,AG,A,4LN6,K,8,additional_chains
4ene_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
4ene_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
4ene_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
4ene_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
5w9p_D:E|B,AG,B,4NCU,A|A|A,1,potenial_homomer
5w9p_D:E|B,AG,B,4NCW,A|B|C,1,potenial_homomer
5hys_A:B|G,AG,G,2WQR,A|B,1,potenial_homomer
5hys_A:B|G,AG,G,5MOK,A|B|C|D,1,potenial_homomer
5hys_A:B|G,AG,G,5MOL,A|B,1,potenial_homomer
6plk_H:L|E,AG,E,5LBV,A|B,1,potenial_homomer
6plk_H:L|E,AG,E,5JHM,A|B,1,potenial_homomer
2htk_C:D|A,AG,A,4FTP,A|A,1,potenial_homomer
2htk_C:D|A,AG,A,1KPK,A|B,1,potenial_homomer
2htk_C:D|A,AG,A,1KPK,C|D,2,potenial_homomer
2htk_C:D|A,AG,A,1KPK,E|F,3,potenial_homomer
5n0a_H:L|A,AG,A,1OKE,A|B,1,potenial_homomer
5n0a_H:L|A,AG,A,1OAN,A|B,1,potenial_homomer
5n0a_H:L|A,AG,A,1TG8,A|A,1,potenial_homomer
5n0a_H:L|A,AG,A,1OK8,A|A|A,1,potenial_homomer
2vis_B:A|C,AG,C,6BKQ,A|C|E,1,potenial_homomer
2vis_B:A|C,AG,C,6BKQ,A|C|E,3,potential_complex_homomer
2vis_B:A|C,AG,C,6BKM,A|C|E,1,potenial_homomer
2vis_B:A|C,AG,C,6BKM,A|C|E,3,potential_complex_homomer
5f3h_E:F|L,AG,L,5NXS,A|B,1,potenial_homomer
5f3h_E:F|L,AG,L,5NTU,A|B,1,potenial_homomer
5f3h_E:F|L,AG,L,5JI1,A|B,1,potenial_homomer
4nm8_H:L|B:A,AG,B:A,6BKQ,B:A|D:C|F:E,3,potenial_homomer
4nm8_H:L|B:A,AG,B:A,6BKM,B:A|D:C|F:E,3,potenial_homomer
1ncb_H:L|N,AG,N,6D3B,A|A|A|A,1,potenial_homomer
1ncb_H:L|N,AG,N,6HFC,A|A|A|A,1,potenial_homomer
1ncb_H:L|N,AG,N,1F8E,A|A|A|A,1,potenial_homomer
1ncb_H:L|N,AG,N,6HG0,A|A|A|A,1,potenial_homomer
1ncb_H:L|N,AG,N,6HCX,A|A|A|A,1,potenial_homomer
5u3j_H:L|A,AG,A,6E8W,A|B|C,1,potenial_homomer
6iut_H:L|A,AG,A,4KWM,A|A|A,1,potential_complex_homomer
6iut_H:L|A,AG,A,4KWM,C|C|C,2,potential_complex_homomer
6iut_H:L|A,AG,A,4KWM,E|E|E,3,potential_complex_homomer
6iut_H:L|A,AG,A,6NTF,A|A|A,1,potenial_homomer
6k5d_E:F|B,AG,B,4FTP,A|A,1,potenial_homomer
6k5d_E:F|B,AG,B,1KPK,A|B,1,potenial_homomer
6k5d_E:F|B,AG,B,1KPK,C|D,2,potenial_homomer
6k5d_E:F|B,AG,B,1KPK,E|F,3,potenial_homomer
4l5f_H:L|E,AG,E,3IRC,A|A|A,2,potenial_homomer
4l5f_H:L|E,AG,E,4GSX,A|A|A,1,potenial_homomer
4l5f_H:L|E,AG,E,4GSX,B|B|B,2,potenial_homomer
4l5f_H:L|E,AG,E,4GT0,A|A|A,1,potenial_homomer
4l5f_H:L|E,AG,E,4GT0,B|B|B,2,potenial_homomer
5mp5_E:F|I,AG,I,6NWP,A|B|C|D|E|F,1,potenial_homomer
6pz8_D:K|F,AG,F,6Q04,A|B|C,1,potenial_homomer
5d1q_B:A|E,AG,E,3RUR,A|D,5,potenial_homomer
5d1q_B:A|E,AG,E,3RUR,B|C,6,potenial_homomer
5d1q_B:A|E,AG,E,3RTL,A|B,5,potenial_homomer
5d1q_B:A|E,AG,E,3RTL,C|D,6,potenial_homomer
1afv_H:L|A,AG,A,6BHS,A|A|A|A|A|A,1,potenial_homomer
1afv_H:L|A,AG,A,6ERM,A|A|A|A|A|A,1,potenial_homomer
1afv_H:L|A,AG,A,5HGP,A|A|A|A|A|A,1,potenial_homomer
1afv_H:L|A,AG,A,6H09,A|A|A|A|A|A,1,potenial_homomer
1afv_H:L|A,AG,A,6ES8,A|A|A|A|A|A,1,potenial_homomer
4jan_A:B|I,AG,I,3DNL,A|C|D|F|G|I,1,potential_complex_homomer
4rx4_H:L|G,AG,G,3DNL,A|C|D|F|G|I,1,potential_complex_homomer
2vxs_K:O|C,AG,C,4HR9,A|B,1,potenial_homomer
5hys_H:L|I,AG,I,2WQR,A|B,1,potenial_homomer
5hys_H:L|I,AG,I,5MOK,A|B|C|D,1,potenial_homomer
5hys_H:L|I,AG,I,5MOL,A|B,1,potenial_homomer
5kqv_P:Q|F,AG,F,2HR7,A|B,1,potenial_homomer
5kqv_P:Q|F,AG,F,4XST,E,1,additional_chains
5kqv_P:Q|F,AG,F,4XST,E|E|E|E|E|E,2,potential_complex_homomer
5kqv_P:Q|F,AG,F,6HN4,E|F,1,potenial_homomer
2hmi_D:C|B,AG,B,6ECL,A|B,1,potenial_homomer
5tru_H:L|C,AG,C,3OSK,A|B,1,potenial_homomer
5tru_H:L|C,AG,C,2X44,D|D,1,potenial_homomer
4yzf_E:F|A,AG,A,4KY9,A|P,1,potenial_homomer
4yzf_E:F|A,AG,A,1HYN,P|Q,1,potenial_homomer
