comp_name,candidate_type,candidate_id,pdb_id_b,ab_chain_ids_b,ag_chain_ids_b,resolution_b,resolution_method_b,ab_pdb_id_u,ab_chain_ids_u,ab_resolution_u,ab_resolution_method_u,ag_pdb_id_u,ag_chain_ids_u,ag_resolution_u,ag_resolution_method_u,ab_mismatches_cnt,ag_mismatches_cnt,small_molecules_message
1mel_A-L,B:U,0,1mel,A,L,2,X-ray,1mel,A,2,X-ray,7BYP,A,1,X-ray,0,0,NA
1mel_A-L,B:U,1,1mel,A,L,2,X-ray,1mel,A,2,X-ray,7CDO,A,1,X-ray,0,0,NA
1mel_A-L,B:U,2,1mel,A,L,2,X-ray,1mel,A,2,X-ray,7CDM,A,1,X-ray,0,0,NA
4i13_B-A,B:U,0,4i13,B,A,1,X-ray,4i13,B,1,X-ray,7LVC,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
4i13_B-A,B:U,1,4i13,B,A,1,X-ray,4i13,B,1,X-ray,4PSS,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
4i13_B-A,B:U,2,4i13,B,A,1,X-ray,4i13,B,1,X-ray,4PSY,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
4i13_B-A,B:U,3,4i13,B,A,1,X-ray,4i13,B,1,X-ray,7D6G,A,1,Multiple methods,0,0,small molecules with n_atoms > 15 detected
4i13_B-A,B:U,4,4i13,B,A,1,X-ray,4i13,B,1,X-ray,4PTH,A,0,X-ray,0,0,small molecules with n_atoms > 15 detected
3iu3_A+B-K,U:U,0,3iu3,A+B,K,2,X-ray,1MIM,H+L,2,X-ray,6VWU,A,3,X-ray,0,0,NA
6obe_B-A,B:U,0,6obe,B,A,1,X-ray,6obe,B,1,X-ray,4HUO,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6obe_B-A,B:U,1,6obe,B,A,1,X-ray,6obe,B,1,X-ray,6URX,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
6obe_B-A,B:U,2,6obe,B,A,1,X-ray,6obe,B,1,X-ray,4HV7,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6obe_B-A,B:U,3,6obe,B,A,1,X-ray,6obe,B,1,X-ray,4MX5,X,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6obe_B-A,B:U,4,6obe,B,A,1,X-ray,6obe,B,1,X-ray,6URY,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
6obe_B-A,B:U,5,6obe,B,A,1,X-ray,6obe,B,1,X-ray,6URY,B,1,X-ray,0,0,NA
5vjq_C+D-J,B:U,0,5vjq,C+D,J,1,X-ray,5vjq,C+D,1,X-ray,5V8G,A,1,X-ray,0,0,NA
1jps_H+L-T,U:U,0,1jps,H+L,T,1,X-ray,1JPT,H+L,1,X-ray,1TFH,A,2,X-ray,0,0,NA
1jps_H+L-T,U:U,1,1jps,H+L,T,1,X-ray,1JPT,H+L,1,X-ray,1TFH,B,2,X-ray,0,0,NA
4uao_C+B-A,B:U,0,4uao,C+B,A,3,X-ray,4uao,C+B,3,X-ray,4UV6,A,2,X-ray,0,0,NA
4uao_C+B-A,B:U,1,4uao,C+B,A,3,X-ray,4uao,C+B,3,X-ray,4UV6,B,2,X-ray,0,0,NA
2dqi_H+L-Y,B:U,0,2dqi,H+L,Y,2,X-ray,2dqi,H+L,2,X-ray,7BYP,A,1,X-ray,0,0,NA
2dqi_H+L-Y,B:U,1,2dqi,H+L,Y,2,X-ray,2dqi,H+L,2,X-ray,7CDO,A,1,X-ray,0,0,NA
2dqi_H+L-Y,B:U,2,2dqi,H+L,Y,2,X-ray,2dqi,H+L,2,X-ray,7CDM,A,1,X-ray,0,0,NA
4n1e_B-I,B:U,0,4n1e,B,I,2,X-ray,4n1e,B,2,X-ray,7BYP,A,1,X-ray,0,0,NA
4n1e_B-I,B:U,1,4n1e,B,I,2,X-ray,4n1e,B,2,X-ray,7CDO,A,1,X-ray,0,0,NA
4n1e_B-I,B:U,2,4n1e,B,I,2,X-ray,4n1e,B,2,X-ray,7CDM,A,1,X-ray,0,0,NA
5e5m_D-C,B:U,0,5e5m,D,C,2,X-ray,5e5m,D,2,X-ray,5E56,A,1,X-ray,0,0,NA
6mvl_H+L-A,B:U,0,6mvl,H+L,A,1,X-ray,6mvl,H+L,1,X-ray,6OIL,A,1,X-ray,0,1,small molecules with 7 < n_atoms <= 15 detected
3ogo_G-B,B:U,0,3ogo,G,B,2,X-ray,3ogo,G,2,X-ray,5N9O,A,1,X-ray,0,1,small molecules with n_atoms > 15 detected
3ogo_G-B,B:U,1,3ogo,G,B,2,X-ray,3ogo,G,2,X-ray,4EUL,A,1,X-ray,0,0,NA
3ogo_G-B,B:U,2,3ogo,G,B,2,X-ray,3ogo,G,2,X-ray,2Y0G,A,1,X-ray,0,4,NA
3ogo_G-B,B:U,3,3ogo,G,B,2,X-ray,3ogo,G,2,X-ray,6YLQ,A,1,X-ray,0,4,NA
6pxh_C+D-A,U:U,0,6pxh,C+D,A,2,X-ray,6PXG,A+B,2,X-ray,5X4R,A,1,X-ray,0,1,NA
6pxh_C+D-A,U:U,1,6pxh,C+D,A,2,X-ray,6PXG,C+D,2,X-ray,5X4R,A,1,X-ray,0,1,NA
6pxh_C+D-A,U:U,2,6pxh,C+D,A,2,X-ray,6PXG,E+F,2,X-ray,5X4R,A,1,X-ray,0,1,NA
6pxh_C+D-A,U:U,3,6pxh,C+D,A,2,X-ray,6PXG,A+B,2,X-ray,5VYH,A,2,X-ray,0,1,small molecules with n_atoms > 15 detected
6pxh_C+D-A,U:U,4,6pxh,C+D,A,2,X-ray,6PXG,C+D,2,X-ray,5VYH,A,2,X-ray,0,1,small molecules with n_atoms > 15 detected
6pxh_C+D-A,U:U,5,6pxh,C+D,A,2,X-ray,6PXG,E+F,2,X-ray,5VYH,A,2,X-ray,0,1,small molecules with n_atoms > 15 detected
3so3_C+B-A,B:U,0,3so3,C+B,A,2,X-ray,3so3,C+B,2,X-ray,6T9T,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
3so3_C+B-A,B:U,1,3so3,C+B,A,2,X-ray,3so3,C+B,2,X-ray,3NCL,A,1,X-ray,0,0,small molecules with n_atoms > 15 detected
5mvz_H+L-U,B:U,0,5mvz,H+L,U,2,X-ray,5mvz,H+L,2,X-ray,5R7W,A,1,X-ray,0,0,NA
5mvz_H+L-U,B:U,1,5mvz,H+L,U,2,X-ray,5mvz,H+L,2,X-ray,5R8F,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5mvz_H+L-U,B:U,2,5mvz,H+L,U,2,X-ray,5mvz,H+L,2,X-ray,5R8P,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5mvz_H+L-U,B:U,3,5mvz,H+L,U,2,X-ray,5mvz,H+L,2,X-ray,6Y8M,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5mvz_H+L-U,B:U,4,5mvz,H+L,U,2,X-ray,5mvz,H+L,2,X-ray,6Y8I,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,0,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,4CC0,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,1,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,4CC0,B,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,2,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,4CBZ,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,3,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,4CBZ,B,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,4,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,2VJ2,A,2,X-ray,0,0,NA
5bo1_I+M-A,B:U,5,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,2VJ2,B,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,6,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,4CC1,A,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
5bo1_I+M-A,B:U,7,5bo1,I+M,A,2,X-ray,5bo1,I+M,2,X-ray,4CC1,B,2,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
4om1_H+L-G,B:U,0,4om1,H+L,G,2,X-ray,4om1,H+L,2,X-ray,3TGT,A,1,X-ray,0,0,small molecules with 7 < n_atoms <= 15 detected
1ic5_H+L-Y,B:U,0,1ic5,H+L,Y,2,X-ray,1ic5,H+L,2,X-ray,7BYP,A,1,X-ray,0,0,NA
1ic5_H+L-Y,B:U,1,1ic5,H+L,Y,2,X-ray,1ic5,H+L,2,X-ray,7CDO,A,1,X-ray,0,0,NA
1ic5_H+L-Y,B:U,2,1ic5,H+L,Y,2,X-ray,1ic5,H+L,2,X-ray,7CDM,A,1,X-ray,0,0,NA
6ye3_D+E-F,B:U,0,6ye3,D+E,F,2,X-ray,6ye3,D+E,2,X-ray,1PW6,A,2,X-ray,0,0,small molecules with n_atoms > 15 detected
