comp_name,type,chain_ids,candidate_pdb_id,candidate_chain_ids,assembly_id
6nb6_I+M-B,AB,I+M,6NB8,H+L,1
5dup_H+L-A,AG,A,5DUT,A,1
5fhc_A+B-J,AB,A+B,5FHB,H+L,1
5fhc_A+B-J,AG,J,2LCY,A,1
6nip_H+L-Z,AB,H+L,6MTX,H+L,1
3ulu_D+C-A,AB,D+C,3ULS,H+L,1
3ulu_D+C-A,AB,D+C,3ULS,B+A,2
3ulu_D+C-A,AG,A,1ZIW,A,1
3ulu_D+C-A,AG,A,2A0Z,A,1
1vfb_B+A-C,AB,B+A,1VFA,B+A,1
1vfb_B+A-C,AG,C,7BYP,A,1
1vfb_B+A-C,AG,C,7CDO,A,1
1vfb_B+A-C,AG,C,7CDM,A,1
2p42_D-C,AG,C,8RAT,A,1
2p42_D-C,AG,C,6ETL,A,1
2p42_D-C,AG,C,6ETM,A,1
2p42_D-C,AG,C,7RSA,A,1
2p42_D-C,AG,C,6ETK,A,1
6rp8_h+l-c,AG,c,1AH1,A,1
3hi6_H+L-A,AB,H+L,3HI5,H+L,1
6awo_B+C-A,AB,B+C,5I66,A+B,1
6pzw_F+E-C,AB,F+E,6PZH,H+L,1
6pzw_F+E-C,AB,F+E,6PZH,B+A,2
3k74_B-A,AG,A,7LVC,A,1
3k74_B-A,AG,A,4PSS,A,1
3k74_B-A,AG,A,4PSY,A,1
3k74_B-A,AG,A,7D6G,A,1
3k74_B-A,AG,A,4PTH,A,1
6mfp_H+L-G,AB,H+L,6MFJ,L+L,1
6mfp_H+L-G,AB,H+L,6MFJ,B+B,2
3opz_I+M-B,AG,B,1MS1,A,1
3opz_I+M-B,AG,B,1MS1,B,2
3opz_I+M-B,AG,B,2AH2,A,1
3opz_I+M-B,AG,B,1MS9,A,1
3opz_I+M-B,AG,B,1MS9,B,2
3opz_I+M-B,AG,B,1MS3,A,1
3opz_I+M-B,AG,B,1MS3,B,2
3opz_I+M-B,AG,B,3B69,A,1
6s3t_N+M-A,AB,N+M,6RNN,H+L,1
6s3t_N+M-A,AB,N+M,6RNN,D+C,2
6s3t_N+M-A,AG,A,6RUX,A,1
6s3t_N+M-A,AG,A,6RUX,B,2
6s3t_N+M-A,AG,A,6RUX,C,3
6s3t_N+M-A,AG,A,6RQG,A,1
6s3t_N+M-A,AG,A,6RQG,B,2
6s3t_N+M-A,AG,A,6RQG,C,3
7lue_J+N-C,AB,J+N,7LUD,H+L,1
7lue_J+N-C,AB,J+N,7LUD,A+B,2
5x0t_A+B-E,AB,A+B,5X4G,A+B,1
6tyl_H-F,AB,H,4N0E,A,1
6tyl_H-F,AB,H,4N0D,A,1
6tyl_H-F,AB,H,2ZJY,A,1
6tyl_H-F,AB,H,1CIP,A,1
6nb7_H+L-A,AB,H+L,6NB8,L+L,1
4w2q_G-H,AB,G,4W2P,A,1
4w2q_G-H,AB,G,4W2P,B,2
4w2q_G-H,AB,G,4W2P,C,3
4w2q_G-H,AB,G,4W2P,D,4
6vmj_F+E-Y,AG,Y,6FTY,A,1
6vmj_F+E-Y,AG,Y,6FUT,A,1
6vmj_F+E-Y,AG,Y,6FUI,A,1
6vmj_F+E-Y,AG,Y,6QMT,A,1
6vmj_F+E-Y,AG,Y,6QMT,B,2
6vmj_F+E-Y,AG,Y,6FUH,A,1
6h3t_I+M-B,AG,B,6H3S,B,1
6h3t_I+M-B,AG,B,6H3S,A,2
5uoe_M+N-B,AG,B,4IFH,A,2
5uoe_M+N-B,AG,B,4IFH,B,3
5uoe_M+N-B,AG,B,4RE9,A,1
5uoe_M+N-B,AG,B,4RE9,B,2
7r8m_H+L-B,AB,H+L,7N3E,H+L,1
6pz8_C+G-J,AB,C+G,6PXG,A+B,1
6pz8_C+G-J,AB,C+G,6PXG,C+D,2
6pz8_C+G-J,AB,C+G,6PXG,E+F,3
2x89_A-D,AG,D,2XKU,A,1
4kro_B-A,AB,B,4KRN,A,1
4i2x_D+C-F,AB,D+C,3DIF,B+A,1
4i2x_D+C-F,AB,D+C,3DIF,D+C,2
5ovw_I-B,AG,B,1N2Z,A,1
5ovw_I-B,AG,B,1N2Z,B,2
4ut6_I+M-B,AG,B,4UTC,A,1
4ut6_I+M-B,AG,B,4UTC,B,2
5m14_C-A,AG,A,5B3Y,A,1
5m14_C-A,AG,A,6ZHO,A,1
5m14_C-A,AG,A,6ZIS,A,1
5m14_C-A,AG,A,5ZCA,A,1
5m14_C-A,AG,A,7MQ7,A,1
5wth_E+D-B,AB,E+D,5WTG,B+A,1
5wth_E+D-B,AB,E+D,5WTG,D+C,2
4n1e_A-I,AG,I,7BYP,A,1
4n1e_A-I,AG,I,7CDO,A,1
4n1e_A-I,AG,I,7CDM,A,1
4dn4_H+L-M,AB,H+L,4DN3,H+L,1
4dn4_H+L-M,AG,M,1DOL,A,1
5toj_F-C,AB,F,5TP3,A,1
5toj_F-C,AB,F,5TP3,B,2
5mev_H+L-A,AG,A,6FS1,A,1
5mev_H+L-A,AG,A,6FS1,B,2
5mev_H+L-A,AG,A,5KU9,A,1
5mev_H+L-A,AG,A,5KU9,B,2
1mel_A-L,AG,L,7BYP,A,1
1mel_A-L,AG,L,7CDO,A,1
1mel_A-L,AG,L,7CDM,A,1
4i13_B-A,AG,A,7LVC,A,1
4i13_B-A,AG,A,4PSS,A,1
4i13_B-A,AG,A,4PSY,A,1
4i13_B-A,AG,A,7D6G,A,1
4i13_B-A,AG,A,4PTH,A,1
3iu3_A+B-K,AB,A+B,1MIM,H+L,1
3iu3_A+B-K,AG,K,6VWU,A,1
6obe_B-A,AG,A,4HUO,X,1
6obe_B-A,AG,A,6URX,A,1
6obe_B-A,AG,A,4HV7,X,1
6obe_B-A,AG,A,4MX5,X,1
6obe_B-A,AG,A,6URY,A,1
6obe_B-A,AG,A,6URY,B,2
5vjq_C+D-J,AG,J,5V8G,A,1
6wty_H+I-G,AG,G,5W53,A,1
6wty_H+I-G,AG,G,5W53,B,2
4m5z_H+L-A,AB,H+L,4M5Y,H+L,1
4m5z_H+L-A,AB,H+L,4M5Y,I+M,2
1jps_H+L-T,AB,H+L,1JPT,H+L,1
1jps_H+L-T,AG,T,1TFH,A,1
1jps_H+L-T,AG,T,1TFH,B,2
4uao_C+B-A,AG,A,4UV6,A,1
4uao_C+B-A,AG,A,4UV6,B,2
2dqi_H+L-Y,AG,Y,7BYP,A,1
2dqi_H+L-Y,AG,Y,7CDO,A,1
2dqi_H+L-Y,AG,Y,7CDM,A,1
3csy_E+F-L+K,AB,E+F,3INU,H+L,1
3csy_E+F-L+K,AB,E+F,3INU,M+N,2
4n1e_B-I,AG,I,7BYP,A,1
4n1e_B-I,AG,I,7CDO,A,1
4n1e_B-I,AG,I,7CDM,A,1
6rcv_J+I-F,AB,J+I,6RCS,A+B,1
5e5m_D-C,AG,C,5E56,A,1
6mvl_H+L-A,AG,A,6OIL,A,1
6k69_A-B,AB,A,3LRG,A,1
6k69_A-B,AB,A,3LRG,B,2
3ogo_G-B,AG,B,5N9O,A,1
3ogo_G-B,AG,B,4EUL,A,1
3ogo_G-B,AG,B,2Y0G,A,1
3ogo_G-B,AG,B,6YLQ,A,1
3ogo_G-B,AG,B,7FBS,A,1
6pxh_C+D-A,AB,C+D,6PXG,A+B,1
6pxh_C+D-A,AB,C+D,6PXG,C+D,2
6pxh_C+D-A,AB,C+D,6PXG,E+F,3
6pxh_C+D-A,AG,A,5X4R,A,1
6pxh_C+D-A,AG,A,5VYH,A,1
6dc5_H+I-G,AB,H+I,6DC4,H+L,1
3so3_C+B-A,AG,A,6T9T,A,1
3so3_C+B-A,AG,A,3NCL,A,1
5mvz_H+L-U,AG,U,5R7W,A,1
5mvz_H+L-U,AG,U,5R8F,A,1
5mvz_H+L-U,AG,U,5R8P,A,1
5mvz_H+L-U,AG,U,6Y8M,A,1
5mvz_H+L-U,AG,U,6Y8I,A,1
5bo1_I+M-A,AG,A,4CC0,A,1
5bo1_I+M-A,AG,A,4CC0,B,2
5bo1_I+M-A,AG,A,4CBZ,A,1
5bo1_I+M-A,AG,A,4CBZ,B,2
5bo1_I+M-A,AG,A,2VJ2,A,1
5bo1_I+M-A,AG,A,2VJ2,B,2
5bo1_I+M-A,AG,A,4CC1,A,1
5bo1_I+M-A,AG,A,4CC1,B,2
4om1_H+L-G,AG,G,3TGT,A,1
1ic5_H+L-Y,AG,Y,7BYP,A,1
1ic5_H+L-Y,AG,Y,7CDO,A,1
1ic5_H+L-Y,AG,Y,7CDM,A,1
6ye3_D+E-F,AG,F,1PW6,A,1
6ye3_D+E-F,AG,F,1PW6,B,2
6ye3_D+E-F,AG,F,1M4C,A,1
6ye3_D+E-F,AG,F,1M4C,B,2
6ye3_D+E-F,AG,F,1M49,A,1
6ye3_D+E-F,AG,F,1M49,B,2
6ye3_D+E-F,AG,F,1M47,A,1
6ye3_D+E-F,AG,F,1M48,A,1
6ye3_D+E-F,AG,F,1M48,B,2
1g7i_B+A-C,AG,C,7BYP,A,1
1g7i_B+A-C,AG,C,7CDO,A,1
1g7i_B+A-C,AG,C,7CDM,A,1
4jre_H+L-D,AG,D,4U4T,A,1
4jre_H+L-D,AG,D,4U4W,A,1
4jre_H+L-D,AG,D,4U4W,B,2
4jre_H+L-D,AG,D,4U4V,A,1
6i9i_H+L-D,AG,D,6F8P,A,1
6wty_K+L-J,AG,J,5W53,A,1
6wty_K+L-J,AG,J,5W53,B,2
3sqo_H+L-A,AG,A,2P4E,P,1
3sqo_H+L-A,AG,A,2P4E,A,2
3sqo_H+L-A,AG,A,6U26,A,1
3sqo_H+L-A,AG,A,6U26,B,2
5y9j_H+L-A,AB,H+L,5Y9K,H+L,1
5y9j_H+L-A,AG,A,4ZCH,A,1
5y9j_H+L-A,AG,A,4ZCH,B,2
6a77_H+L-A,AB,H+L,6A76,H+L,1
4yga_B-A,AG,A,3I7B,A,1
4yga_B-A,AG,A,3HX4,A,1
4yga_B-A,AG,A,4JBV,A,1
4yga_B-A,AG,A,3NYV,A,1
4yga_B-A,AG,A,3V51,A,1
6cm3_O+N-E,AB,O+N,1RZ8,B+A,1
6cm3_O+N-E,AB,O+N,1RZ8,D+C,2
7k8s_H+L-A,AB,H+L,7K8O,H+L,1
4m8q_A+B-S,AB,A+B,4LRN,H+L,1
5ggv_H+L-Y,AB,H+L,5GGU,H+L,1
5ggv_H+L-Y,AB,H+L,5GGU,A+B,2
2vh5_H+L-R,AG,R,3OIV,A,1
2vh5_H+L-R,AG,R,4EFM,A,1
2vh5_H+L-R,AG,R,1RVD,A,1
2vh5_H+L-R,AG,R,3OIW,A,1
7chz_H+L-I,AG,I,5R7W,A,1
7chz_H+L-I,AG,I,5R8F,A,1
7chz_H+L-I,AG,I,5R8P,A,1
7chz_H+L-I,AG,I,6Y8M,A,1
7chz_H+L-I,AG,I,6Y8I,A,1
4cmh_B+C-A,AG,A,1ZVM,A,1
4cmh_B+C-A,AG,A,1ZVM,B,2
4cmh_B+C-A,AG,A,1ZVM,C,3
4cmh_B+C-A,AG,A,1ZVM,D,4
4cmh_B+C-A,AG,A,6EDR,A,1
4cmh_B+C-A,AG,A,6EDR,B,2
4cmh_B+C-A,AG,A,4XJS,A,1
4cmh_B+C-A,AG,A,6VUA,A,1
4cmh_B+C-A,AG,A,6VUA,B,2
6ni2_H+L-B,AG,B,1ZSH,A,1
6ni2_H+L-B,AG,B,1G4R,A,1
6ni2_H+L-B,AG,B,1G4M,A,1
6ni2_H+L-B,AG,B,1G4M,B,2
6ni2_H+L-B,AG,B,2WTR,A,1
6ni2_H+L-B,AG,B,1JSY,A,1
5fhc_H+L-K,AB,H+L,5FHA,H+L,1
5o2u_D-C,AG,C,4IPY,A,2
5o2u_D-C,AG,C,4IPY,B,3
5o2u_D-C,AG,C,4IPY,C,4
5o2u_D-C,AG,C,4IPY,D,5
4s1r_H+L-G,AG,G,3TGT,A,1
6e5p_3+4-E,AB,3+4,3OAY,H+K,1
6e5p_3+4-E,AB,3+4,3OAY,M+L,2
6e5p_3+4-E,AB,3+4,3OAZ,H+K,1
6e5p_3+4-E,AB,3+4,3OAZ,M+L,2
5njd_T+S-G+F,AB,T+S,5N2K,B+A,1
5njd_T+S-G+F,AB,T+S,5N2K,D+C,2
5njd_T+S-G+F,AB,T+S,5N2K,F+E,3
5njd_T+S-G+F,AB,T+S,5N2K,H+G,4
5njd_T+S-G+F,AB,T+S,5N2K,J+I,5
5njd_T+S-G+F,AB,T+S,5N2K,L+K,6
5njd_T+S-G+F,AB,T+S,5N2K,N+M,7
3sob_H+L-B,AG,B,3S94,A,1
3sob_H+L-B,AG,B,3S94,B,2
3sob_H+L-B,AG,B,4DG6,A,1
3eoa_H+L-I,AB,H+L,3EO9,H+L,1
3eoa_H+L-I,AG,I,1ZON,A,1
3eoa_H+L-I,AG,I,1RD4,A,1
3eoa_H+L-I,AG,I,1RD4,B,2
3eoa_H+L-I,AG,I,1RD4,C,3
3eoa_H+L-I,AG,I,1RD4,D,4
4q6i_H+L-C,AG,C,1WIO,A,1
4q6i_H+L-C,AG,C,1WIO,B,2
4q6i_H+L-C,AG,C,1CDJ,A,1
4q6i_H+L-C,AG,C,1WIP,A,1
4q6i_H+L-C,AG,C,1WIP,B,2
6x07_B-A,AG,A,2QX5,A,1
6x07_B-A,AG,A,2QX5,B,2
6x07_B-A,AG,A,2RFO,A,1
6x07_B-A,AG,A,2RFO,B,2
3nps_B+C-A,AG,A,6T9T,A,1
3nps_B+C-A,AG,A,3NCL,A,1
3opz_J+N-C,AG,C,1MS1,A,1
3opz_J+N-C,AG,C,1MS1,B,2
3opz_J+N-C,AG,C,2AH2,A,1
3opz_J+N-C,AG,C,1MS9,A,1
3opz_J+N-C,AG,C,1MS9,B,2
3opz_J+N-C,AG,C,1MS3,A,1
3opz_J+N-C,AG,C,1MS3,B,2
3opz_J+N-C,AG,C,3B69,A,1
1s78_F+E-B,AB,F+E,1L7I,H+L,1
6fyu_I-H+G,AG,H+G,4LN8,B+A,2
6fyu_I-H+G,AG,H+G,4LN8,D+C,3
6fyu_I-H+G,AG,H+G,4LN8,F+E,4
6fyu_I-H+G,AG,H+G,4LN8,H+G,6
6fyu_I-H+G,AG,H+G,4LN8,J+I,7
6fyu_I-H+G,AG,H+G,4LN8,L+K,8
6fyu_I-H+G,AG,H+G,4LN6,B+A,2
6fyu_I-H+G,AG,H+G,4LN6,D+C,3
6fyu_I-H+G,AG,H+G,4LN6,F+E,4
6fyu_I-H+G,AG,H+G,4LN6,H+G,6
6fyu_I-H+G,AG,H+G,4LN6,J+I,7
6fyu_I-H+G,AG,H+G,4LN6,L+K,8
6k64_A-C,AB,A,3LRG,A,1
6k64_A-C,AB,A,3LRG,B,2
6qgy_B-A,AG,A,6FSU,A,1
6qgy_B-A,AG,A,6FSU,B,2
5k9o_H+L-I,AG,I,3UYW,A,1
5k9o_H+L-I,AG,I,3UYW,B,2
5k9o_H+L-I,AG,I,3UYW,C,3
5k9o_H+L-I,AG,I,3UYW,D,4
4n1e_C-J,AG,J,7BYP,A,1
4n1e_C-J,AG,J,7CDO,A,1
4n1e_C-J,AG,J,7CDM,A,1
4xnz_H+L-G,AG,G,3TGT,A,1
5vl3_H+L-Q,AB,H+L,5VKK,H+L,1
5vl3_H+L-Q,AB,H+L,5VKK,A+B,2
2nyy_D+C-A,AG,A,3BTA,A,1
1rzk_H+L-G,AB,H+L,1RZ8,B+A,1
1rzk_H+L-G,AB,H+L,1RZ8,D+C,2
5boz_I-C,AG,C,4HUO,X,1
5boz_I-C,AG,C,6URX,A,1
5boz_I-C,AG,C,4HV7,X,1
5boz_I-C,AG,C,4MX5,X,1
5boz_I-C,AG,C,6URY,A,1
5boz_I-C,AG,C,6URY,B,2
5m30_D-B,AB,D,5M2W,A,1
5m30_D-B,AB,D,5M2W,B,2
5m30_D-B,AG,B,5M2Y,A,1
5m30_D-B,AG,B,5M2Y,B,2
6uc6_C-A,AG,A,1G9A,A,1
6uc6_C-A,AG,A,1S0D,A,1
6uc6_C-A,AG,A,1G9D,A,1
6uc6_C-A,AG,A,1S0E,A,1
6uc6_C-A,AG,A,1EPW,A,1
4m3k_B-A,AB,B,4M3J,A,1
4m3k_B-A,AB,B,4M3J,B,2
6u36_H+L-B,AG,B,2P4E,P,1
6u36_H+L-B,AG,B,2P4E,A,2
6u36_H+L-B,AG,B,6U26,A,1
6u36_H+L-B,AG,B,6U26,B,2
5cbe_C+D-F,AG,F,6VGJ,A,1
5cbe_C+D-F,AG,F,6VGJ,B,2
5cbe_C+D-F,AG,F,6VGJ,C,3
5cbe_C+D-F,AG,F,6VGJ,D,4
5cbe_C+D-F,AG,F,6VGJ,E,5
5cbe_C+D-F,AG,F,6VGJ,F,6
5cbe_C+D-F,AG,F,6VGJ,G,7
5cbe_C+D-F,AG,F,7JNY,A,1
3pnw_B+A-C,AG,C,3S6W,A,1
6wty_B+C-A,AG,A,5W53,A,1
6wty_B+C-A,AG,A,5W53,B,2
4iof_E+F-B,AG,B,4IFH,A,2
4iof_E+F-B,AG,B,4IFH,B,3
4iof_E+F-B,AG,B,4RE9,A,1
4iof_E+F-B,AG,B,4RE9,B,2
6jep_H+L-E,AG,E,5OMZ,A,1
5n88_A-D,AG,D,6EMQ,A,1
5n88_A-D,AG,D,6EMO,A,1
4yc2_B+C-A,AB,B+C,3TNM,H+L,1
4yc2_B+C-A,AB,B+C,3TNM,A+B,2
4rfo_H+L-G,AG,G,4DKO,A,1
4rfo_H+L-G,AG,G,4DKO,C,2
4rfo_H+L-G,AG,G,4RZ8,A,1
4rfo_H+L-G,AG,G,4RZ8,B,2
4rfo_H+L-G,AG,G,4RZ8,C,3
4rfo_H+L-G,AG,G,4RZ8,D,4
4rfo_H+L-G,AG,G,4DVV,A,1
4rfo_H+L-G,AG,G,4DVV,B,2
4rfo_H+L-G,AG,G,4DKP,A,1
4rfo_H+L-G,AG,G,4DKP,C,2
4rfo_H+L-G,AG,G,4DKQ,A,1
6sge_D-A,AG,A,6HXU,A,1
1bzq_K-D,AG,D,8RAT,A,1
1bzq_K-D,AG,D,6ETL,A,1
1bzq_K-D,AG,D,6ETM,A,1
1bzq_K-D,AG,D,7RSA,A,1
1bzq_K-D,AG,D,6ETK,A,1
6dc5_B+C-A,AB,B+C,6DC4,H+L,1
7o7f_H+F-A+B,AB,H+F,6QNK,B+B,1
7o7f_H+F-A+B,AB,H+F,6QNK,D+D,2
5njd_N+M-K,AB,N+M,5N2K,B+A,1
5njd_N+M-K,AB,N+M,5N2K,D+C,2
5njd_N+M-K,AB,N+M,5N2K,F+E,3
5njd_N+M-K,AB,N+M,5N2K,H+G,4
5njd_N+M-K,AB,N+M,5N2K,J+I,5
5njd_N+M-K,AB,N+M,5N2K,L+K,6
5njd_N+M-K,AB,N+M,5N2K,N+M,7
5njd_N+M-K,AG,K,1F42,A,1
7kdm_C-B+A,AG,B+A,3RTI,B+A,1
5w9p_D+E-B,AB,D+E,5VZR,L+L,1
5w9p_D+E-B,AB,D+E,5VZR,B+B,2
5hgg_T-A,AB,T,5HDO,A,1
5hgg_T-A,AB,T,5HDO,B,2
5hgg_T-A,AB,T,5HDO,C,3
5hgg_T-A,AB,T,5HDO,D,4
5hgg_T-A,AG,A,5ZAJ,U,1
5hgg_T-A,AG,A,6AG2,U,1
5hgg_T-A,AG,A,6AG9,U,1
5hgg_T-A,AG,A,5ZA7,U,1
5hgg_T-A,AG,A,6AG7,U,1
4lhj_B-A,AG,A,4HUO,X,1
4lhj_B-A,AG,A,6URX,A,1
4lhj_B-A,AG,A,4HV7,X,1
4lhj_B-A,AG,A,4MX5,X,1
4lhj_B-A,AG,A,6URY,A,1
4lhj_B-A,AG,A,6URY,B,2
5hys_A+B-G,AB,A+B,2XA8,H+L,1
5hys_A+B-G,AB,A+B,4X7T,H+L,1
5hys_A+B-G,AB,A+B,4X7T,A+B,2
5hys_A+B-G,AB,A+B,6TCN,H+L,1
5hys_A+B-G,AB,A+B,6TCN,B+A,2
5hys_A+B-G,AB,A+B,6TCM,H+L,1
5n0a_H+L-A,AB,H+L,4UT7,H+L,1
6gk4_E-D,AG,D,5TFI,A,1
6gk4_E-D,AG,D,5TFF,A,1
6gk4_E-D,AG,D,5TF7,A,1
6gk4_E-D,AG,D,5TFG,A,1
6gk4_E-D,AG,D,5TFB,A,1
2vis_B+A-C,AB,B+A,1GIG,H+L,1
5gxb_B-A,AG,A,4ZYR,A,1
5gxb_B-A,AG,A,4ZYR,B,2
4aei_H+L-A,AG,A,1PTX,A,1
4aei_H+L-A,AG,A,1AHO,A,1
7k8s_O+P-B,AB,O+P,7K8O,H+L,1
7jva_H+L-A,AB,H+L,7JXD,A+B,1
7jva_H+L-A,AB,H+L,7JXD,C+D,2
5mes_H+L-A,AG,A,6FS1,A,1
5mes_H+L-A,AG,A,6FS1,B,2
5mes_H+L-A,AG,A,5KU9,A,1
5mes_H+L-A,AG,A,5KU9,B,2
5i73_B+C-A,AB,B+C,5I66,A+B,1
1ic7_H+L-Y,AG,Y,7BYP,A,1
1ic7_H+L-Y,AG,Y,7CDO,A,1
1ic7_H+L-Y,AG,Y,7CDM,A,1
5w4l_D+E-G,AG,G,4DKO,A,1
5w4l_D+E-G,AG,G,4DKO,C,2
5w4l_D+E-G,AG,G,4RZ8,A,1
5w4l_D+E-G,AG,G,4RZ8,B,2
5w4l_D+E-G,AG,G,4RZ8,C,3
5w4l_D+E-G,AG,G,4RZ8,D,4
5w4l_D+E-G,AG,G,4DVV,A,1
5w4l_D+E-G,AG,G,4DVV,B,2
5w4l_D+E-G,AG,G,4DKP,A,1
5w4l_D+E-G,AG,G,4DKP,C,2
5w4l_D+E-G,AG,G,4DKQ,A,1
6did_K+E-G+J,AB,K+E,6CJK,B+A,1
6did_K+E-G+J,AB,K+E,6CJK,D+C,2
6did_K+E-G+J,AG,G+J,6CJK,A+B,1
6did_K+E-G+J,AG,G+J,6CJK,C+D,2
7lue_H+L-A,AB,H+L,7LUD,L+L,1
7lue_H+L-A,AB,H+L,7LUD,B+B,2
4ut9_J+N-D,AG,D,4UTC,A,1
4ut9_J+N-D,AG,D,4UTC,B,2
6gwp_B-A,AG,A,7AQF,A,1
6gwp_B-A,AG,A,7AQF,B,2
6gwp_B-A,AG,A,3EOX,A,1
5e7f_B-H,AB,B,5E7B,A,1
4xnz_B+C-A,AG,A,3TGT,A,1
6iut_H+L-A,AG,A,5DUT,A,1
4l5f_H+L-E,AG,E,3IRC,A,1
2eks_B+A-C,AG,C,7BYP,A,1
2eks_B+A-C,AG,C,7CDO,A,1
2eks_B+A-C,AG,C,7CDM,A,1
3nfp_H+L-I,AB,H+L,3NFS,H+L,1
3nfp_H+L-I,AG,I,6VWU,A,1
4jan_A+B-I,AB,A+B,4JAM,H+L,1
4jan_A+B-I,AB,A+B,4JAM,A+B,2
3jcx_H+L-A,AB,H+L,3IY6,B+A,1
6obo_D-B,AG,B,4HUO,X,1
6obo_D-B,AG,B,6URX,A,1
6obo_D-B,AG,B,4HV7,X,1
6obo_D-B,AG,B,4MX5,X,1
6obo_D-B,AG,B,6URY,A,1
6obo_D-B,AG,B,6URY,B,2
4w2o_G-H,AB,G,6APQ,A,1
4yzf_E+F-A,AB,E+F,5A16,G+H,1
4yzf_E+F-A,AB,E+F,5A16,C+D,2
4yzf_E+F-A,AB,E+F,5A16,E+F,3
4yzf_E+F-A,AB,E+F,5A16,A+B,4
7lvw_K-F,AB,K,7LVU,A,1
7lvw_K-F,AB,K,7LVU,B,2
7lvw_K-F,AB,K,7LVU,C,3
7lvw_K-F,AB,K,7LVU,D,4
4ki5_E+F-M,AG,M,3HNY,M,1
4ki5_E+F-M,AG,M,6MF2,A,1
